               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.070005,            0.058704,            0.055617,            0.052727,             0.33015,            0.074469,            0.035689,            0.049248,            0.054144,            0.046344,           0.0014652,           0.0014652,            0.086365
                  38,            0.071589,            0.053288,            0.055235,             0.19146,             0.38482,             0.08833,            0.037838,            0.046291,            0.053381,             0.04616,           0.0015016,           0.0015016,            0.086002
                  39,            0.059549,            0.057577,            0.050843,             0.19983,             0.40775,            0.098317,             0.05192,            0.039376,            0.053103,            0.046067,           0.0015377,           0.0015377,            0.085638
                  40,            0.072797,            0.060881,            0.058536,             0.18553,             0.30984,            0.075141,            0.033713,             0.04391,            0.053885,             0.04594,           0.0015736,           0.0015736,            0.085274
                  41,            0.051943,            0.058182,            0.045914,              0.1938,             0.39268,            0.081408,            0.039498,            0.042103,            0.052705,            0.045892,           0.0016094,           0.0016094,            0.084909
                  42,            0.064031,            0.062601,            0.050833,            0.038278,             0.27606,            0.049655,            0.028866,            0.062711,            0.057919,            0.045944,           0.0016449,           0.0016449,            0.084545
                  43,            0.087837,            0.058603,            0.059997,             0.19364,             0.39751,            0.075606,            0.042859,            0.054832,            0.052708,            0.045692,           0.0016802,           0.0016802,             0.08418
                  44,            0.071762,            0.062365,            0.050632,             0.11614,             0.43343,            0.072912,            0.034182,            0.058645,            0.052468,            0.045851,           0.0017153,           0.0017153,            0.083815
                  45,            0.072215,            0.058438,            0.050229,            0.043125,             0.35261,             0.06688,            0.024886,            0.054713,            0.058806,            0.045832,           0.0017502,           0.0017502,             0.08345
                  46,            0.083948,            0.052037,            0.056986,             0.17662,             0.30072,            0.053358,            0.026439,            0.065651,            0.048576,            0.045746,           0.0017849,           0.0017849,            0.083085
                  47,             0.08558,            0.049761,            0.055558,             0.26909,             0.35607,            0.090984,            0.053209,            0.053013,             0.05107,              0.0456,           0.0018193,           0.0018193,            0.082719
                  48,              0.0762,            0.056804,            0.053897,             0.26428,             0.45308,            0.095464,            0.050566,            0.054548,            0.050182,            0.045566,           0.0018535,           0.0018535,            0.082354
                  49,            0.076663,            0.058514,            0.054477,             0.26383,             0.33595,            0.091065,            0.044989,            0.054582,             0.05138,            0.045537,           0.0018875,           0.0018875,            0.081987
                  50,            0.074702,             0.06351,            0.053584,            0.034785,             0.46718,            0.064018,            0.030526,            0.054809,            0.059003,            0.045569,           0.0019212,           0.0019212,            0.081621
                  51,            0.076181,            0.060297,            0.055481,             0.17611,             0.18352,             0.05855,            0.017533,            0.063125,            0.049774,            0.045565,           0.0019547,           0.0019547,            0.081255
                  52,            0.094313,            0.052129,            0.057566,             0.28319,             0.15096,            0.079098,            0.028361,            0.058734,            0.049348,            0.045415,           0.0019879,           0.0019879,            0.080888
                  53,            0.099559,            0.053544,            0.062692,             0.21031,             0.32633,            0.090201,            0.032876,              0.0554,            0.050215,            0.045486,           0.0020209,           0.0020209,            0.080521
                  54,            0.083581,            0.051648,            0.059252,            0.055148,             0.50027,            0.090081,            0.053227,            0.060011,            0.049912,            0.045294,           0.0020536,           0.0020536,            0.080154
                  55,            0.077792,            0.052571,            0.052272,             0.12376,             0.47146,             0.10368,             0.04285,            0.053119,            0.059336,            0.045244,           0.0020861,           0.0020861,            0.079786
                  56,            0.073316,             0.06014,            0.053363,              0.2071,             0.27948,            0.098137,            0.041126,            0.051938,            0.064946,             0.04536,           0.0021183,           0.0021183,            0.079418
                  57,            0.076681,              0.0576,            0.060536,             0.18765,             0.35827,             0.07173,            0.036035,            0.059837,            0.063119,            0.045331,           0.0021502,           0.0021502,             0.07905
                  58,            0.066581,            0.053622,            0.050623,             0.21903,             0.24158,            0.093389,            0.045854,            0.048611,            0.072304,            0.045414,           0.0021819,           0.0021819,            0.078682
                  59,            0.067075,            0.055053,            0.055274,             0.19627,             0.36436,            0.080999,            0.027486,            0.054493,            0.060755,            0.045216,           0.0022133,           0.0022133,            0.078313
